label,centroid
18,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 105, 90, 90, 75, 60, 90, 105, 90, 45, 90, 90, 105, 90, 90, 165, 75, 75, 45, 60, 90, 90, 120, 30, 75, 90, 90, 90, 105, 90, 90, 90, 90, 90, 90, 90, 105, 105, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1]
19,[-1, -1, -1, 0, 150, 150, -1, -1, -1, -1, 30, 30, 15, 165, -1, -1, -1, -1, 15, 30, 0, 165, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, 0, 165, 0, 0, -1, -1, -1, -1, 165, 90, 75, 15, -1, -1, -1, -1, 150, 150, 45, 0, -1, -1, -1, -1, 0, 15, 150, 0, -1, -1]
20,[105, 90, 90, 90, 75, 75, 75, 75, 105, 105, 90, 90, 75, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 75, 105, 90, 90, 90, 90, 90, -1, 90, 120, 120, 75, 90, 90, 90, 75, 120, 0, 0, 105, 90, 105, 120, 120]
21,[75, 90, 90, 90, 90, 90, 90, 105, 0, 0, 90, 90, 90, 75, 165, 0, 0, 45, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, 15, 0, 0, 0, -1, -1, -1, -1, 15, 0, 0, 90, 90, 90, 90, 90, 165, 0, 105, 90, 90, 90, 90, 90, 90, 75]
22,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 105, 105, 105, 105, 90, 90, 90, 90, 120, 90, 105, 90, 105, 75, 90, 90, 90, 90, 90, 75, 90, 90, 90, 90, 90, 90, 90, 75, 105, 90, 90, 90, -1, -1, -1, 30, 165, -1, -1, -1]
23,[-1, -1, -1, -1, -1, -1, -1, -1, 75, 90, 90, 90, 90, 120, 90, 90, 90, 90, 90, 90, 90, 165, 90, 75, 90, 90, 90, -1, -1, 165, 90, 90, 90, 105, 90, 90, 90, 60, 90, 90, 90, 105, 90, 90, 90, 15, 90, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
24,[-1, 0, 90, 75, 105, 90, 0, -1, -1, 0, 90, 90, 90, 90, 15, -1, -1, 0, 75, 105, 75, 105, 15, -1, -1, 0, 75, 120, 90, 90, 165, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, 75, 90, 90, -1, 120, -1, -1, 165, 90, 105, 90, 90, 0, -1, -1, 0, 90, 105, 120, 75, 15, -1]
25,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 75, 105, -1, 135, -1, 105, 90, 30, 45, 75, 90, 135, 30, 105, 90, 90, 120, 90, 90, 90, 90, 90, 90, 90, 90, 105, 90, 90, 90, 90, 90]
26,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 90, 90, 75, 90, 75, 105, 90, 90, 90, 90, 75, 75, 90, 90, 90, 90, 30, 105, 105, 105, -1, -1, -1, -1, 150, 120, 135, 135, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
27,[-1, -1, 0, 0, 0, 0, 0, 90, -1, -1, 0, 0, 0, 15, 0, 90, -1, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 165, 0, 75, 0, -1, -1, -1, 165, 165, 15, 0, 15, 90, 75, 75, 90, 90, 90, 75, 90, 75, 75, 75, 90, 90, 90, 75, 75, 75, 90, 90, 90, 75, 90, 90, -1, -1]
28,[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 90, 90, 90, 90, 75, 75, 75, 75, 90, 90, 75, 75, 75, 75, 75, 75, 90, 75, 75, 90, 90, 75, 90, 105, 75, 90, 75, 120, 90, 75, 90, 90, 60, 15, 90, 60, 30, 75, 90, 90, 0, 0, 0, 60, 0, 165, 165, 165]
